"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Stories like this are a reminder of our duty, as a country and as Americans, to support every veteran—not only in w… https://t.co/clVuvQQEyd",FALSE,44308,"BarackObama",2019-11-11 14:34:54,TRUE,"1193899774182858752","1193899910116052997","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",5311,FALSE,FALSE,NA,NA
"This Veterans Day, here’s a moving portrait of the extraordinary resilience of my friend Cory Remsburg, an Army Ran… https://t.co/bwYxW8LZyd",FALSE,137484,NA,2019-11-11 14:34:22,TRUE,NA,"1193899774182858752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",19977,FALSE,FALSE,NA,NA
"No one says it better than @MichelleObama — the Obama Presidential Center coming to the South Side isn't for us, it… https://t.co/kNLNbOVpHr",FALSE,86965,NA,2019-11-08 16:39:31,TRUE,NA,"1192844105631649792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",10494,FALSE,FALSE,NA,NA
"Proud of all the Americans who showed up to vote yesterday, electing a set of hopeful, forward-thinking leaders pri… https://t.co/9EA708TmyI",FALSE,320697,NA,2019-11-06 18:32:50,TRUE,NA,"1192147846214160384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",33713,FALSE,FALSE,NA,NA
"Proud to endorse an outstanding group of Virginia Democrats in Tuesday’s election—candidates who’ll not only advanc… https://t.co/s7lkCMYXu7",FALSE,69782,NA,2019-11-02 14:04:46,TRUE,NA,"1190630834736443393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11690,FALSE,FALSE,NA,NA
"Today’s the first day of open enrollment on https://t.co/ob1Ynoesod, and high-quality coverage might be more afford… https://t.co/lWds9MEdZv",FALSE,85100,NA,2019-11-01 14:56:03,TRUE,NA,"1190281354321317889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",25002,FALSE,FALSE,NA,NA
"Congrats to the World Champion @Nationals and their fans! A great group that always showed up when it counted and w… https://t.co/bx1Cg6Jvcz",FALSE,182868,NA,2019-10-31 13:55:54,TRUE,NA,"1189903829589999618",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",16457,FALSE,FALSE,NA,NA
"RT @ObamaFoundation: Watch live: @BarackObama is about to take the stage at the #ObamaSummit. Tune in now at https://t.co/aGSLPSV4Fe for hi…",FALSE,0,NA,2019-10-29 21:20:07,FALSE,NA,"1189290844668547072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",2139,TRUE,FALSE,NA,NA
"RT @ObamaFoundation: Take a tour with @BarackObama through the future Obama Presidential Center on Chicago’s South Side. https://t.co/n5n6s…",FALSE,0,NA,2019-10-29 18:28:01,FALSE,NA,"1189247531433316352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",3221,TRUE,FALSE,NA,NA
"Glad to be back in Chicago for the @ObamaFoundation Summit. It’s where I first learned to organize—and where I met… https://t.co/umAF2H7vjZ",FALSE,51008,NA,2019-10-28 21:04:20,TRUE,NA,"1188924481458331648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6197,FALSE,FALSE,NA,NA
